"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GAGFYC","4258295429","G00002","BD","25","102000","25500","G00051","4","","","25","102000","15","0","","","202004","1"
"202004","GABFYC","4258353061","G00077","BD","100","2000000","2000000","G00077","1","","","100","2000000","","","","","202004",""
"202004","GABFYC","4258353160","G00077","BD","75","7080000","5310000","G00190","2","","","75","7080000","","","","","202004",""
"202004","GABFYC","4258358631","G00054","BD","100","179160","179160","G00254","2","","","100","179160","","","","","202004",""
"202004","GABFYC","4258358649","G00054","BD","100","52350","52350","G00058","2","","","100","52350","","","","","202004",""
"202004","GABFYC","4258358664","G00054","BD","100","87240","87240","G00558","2","","","100","87240","","","","","202004",""
"202004","GABFYC","4258358672","G00054","BD","100","107760","107760","G00556","2","","","100","107760","","","","","202004",""
"202004","GABFYC","4258358680","G00054","BD","100","199020","199020","G00565","2","","","100","199020","","","","","202004",""
"202004","GABFYC","4258358706","G00054","BD","100","150000","150000","G00572","2","","","100","150000","","","","","202004",""
"202004","GABFYC","4258358714","G00054","BD","75","102000","76500","G00557","2","","","75","102000","","","","","202004",""
"202004","GABFYC","4258361429","G00055","BD","75","900915","675686.25","G00301","2","","","75","900915","","","","","202004",""
"202004","GAGFYC","4258361429","G00054","BD","25","900915","225228.75","G00055","3","","","25","900915","15","0","","","202004","1"
"202004","GABFYC","4258364902","G00083","BD","100","24000000","24000000","G00083","1","","","100","24000000","","","","","202004",""
"202004","GAGFYC","4258364902","G00055","BD","25","24000000","6000000","G00083","2","","","25","24000000","15","0","","","202004","1"
"202004","GAGFYC","4258364902","G00054","BD","20","24000000","4800000","G00055","3","","","20","24000000","10","0","","","202004","2"
"202004","GABFYC","4259528521","G00460","BSM","50","1187940","475176","G00460","1","","","50","1187940","","","","","202004",""
"202004","GABFYC","4259528521","G00439","BD","50","1187940","475176","G00460","2","","","50","1187940","","","","","202004",""
"202004","GAGFYC","4259528521","G00336","BD","25","1187940","296985","G00439","3","","","25","1187940","15","0","","","202004","1"
"202004","GAGFYC","4259528521","G00279","BD","20","1187940","237588","G00336","4","","","20","1187940","10","0","","","202004","2"
